param,coef,se,z,pval,OR,OR_lo95,OR_hi95
const,-2.324557182969586,0.026361292600993333,-88.18069804672604,0.0,0.09782675381411109,0.09290058682280136,0.10301413682198436
Income,-0.19777664709696113,0.002708703760821528,-73.01523701394983,0.0,0.8205531055903167,0.8162082840984328,0.8249210553377748
Age,0.1708106908772026,0.0021479043019105772,79.52434879210642,0.0,1.1862661567581603,1.1812826013193263,1.191270736653618
Sex,0.3521426495042411,0.012028660401333382,29.275300636570137,2.1397411258260127e-188,1.4221113727323738,1.3889755695736397,1.456037673200799
